,date,state,fips,cases,deaths,Case_Difference,Daily_PCT_Increase
2776,2020-04-21,Wyoming,56,322,6,5.0,0.01577287066246047
2720,2020-04-20,Wyoming,56,317,2,4.0,0.012779552715654896
2664,2020-04-19,Wyoming,56,313,2,4.0,0.012944983818770295
2608,2020-04-18,Wyoming,56,309,2,4.0,0.013114754098360715
2552,2020-04-17,Wyoming,56,305,2,9.0,0.030405405405405483
2496,2020-04-16,Wyoming,56,296,2,8.0,0.02777777777777768
2440,2020-04-15,Wyoming,56,288,2,6.0,0.02127659574468077
2384,2020-04-14,Wyoming,56,282,1,7.0,0.025454545454545396
2328,2020-04-13,Wyoming,56,275,1,5.0,0.0185185185185186
2272,2020-04-12,Wyoming,56,270,0,9.0,0.034482758620689724
2216,2020-04-11,Wyoming,56,261,0,8.0,0.031620553359683834
2160,2020-04-10,Wyoming,56,253,0,14.0,0.05857740585774063
2104,2020-04-09,Wyoming,56,239,0,9.0,0.03913043478260869
2048,2020-04-08,Wyoming,56,230,0,9.0,0.040723981900452566
1993,2020-04-07,Wyoming,56,221,0,9.0,0.04245283018867929
1938,2020-04-06,Wyoming,56,212,0,12.0,0.06000000000000005
1883,2020-04-05,Wyoming,56,200,0,13.0,0.06951871657754016
1828,2020-04-04,Wyoming,56,187,0,21.0,0.12650602409638556
1773,2020-04-03,Wyoming,56,166,0,13.0,0.08496732026143783
1718,2020-04-02,Wyoming,56,153,0,16.0,0.11678832116788329
1663,2020-04-01,Wyoming,56,137,0,17.0,0.1416666666666666
1608,2020-03-31,Wyoming,56,120,0,25.0,0.26315789473684204
1553,2020-03-30,Wyoming,56,95,0,8.0,0.09195402298850586
1498,2020-03-29,Wyoming,56,87,0,3.0,0.03571428571428581
1443,2020-03-28,Wyoming,56,84,0,11.0,0.15068493150684925
1388,2020-03-27,Wyoming,56,73,0,17.0,0.3035714285714286
1334,2020-03-26,Wyoming,56,56,0,7.0,0.1428571428571428
1280,2020-03-25,Wyoming,56,49,0,12.0,0.32432432432432434
1226,2020-03-24,Wyoming,56,37,0,9.0,0.3214285714285714
1172,2020-03-23,Wyoming,56,28,0,2.0,0.07692307692307687
1118,2020-03-22,Wyoming,56,26,0,2.0,0.08333333333333326
1064,2020-03-21,Wyoming,56,24,0,2.0,0.09090909090909083
1010,2020-03-20,Wyoming,56,22,0,4.0,0.22222222222222232
956,2020-03-19,Wyoming,56,18,0,1.0,0.05882352941176472
902,2020-03-18,Wyoming,56,17,0,2.0,0.1333333333333333
848,2020-03-17,Wyoming,56,15,0,5.0,0.5
794,2020-03-16,Wyoming,56,10,0,7.0,2.3333333333333335
741,2020-03-15,Wyoming,56,3,0,0.0,0.0
688,2020-03-14,Wyoming,56,3,0,1.0,0.5
636,2020-03-13,Wyoming,56,2,0,1.0,1.0
585,2020-03-12,Wyoming,56,1,0,0.0,0.0
2775,2020-04-21,Wisconsin,55,4620,243,121.0,0.02689486552567244
2719,2020-04-20,Wisconsin,55,4499,231,153.0,0.035204786010124334
2663,2020-04-19,Wisconsin,55,4346,222,147.0,0.035008335317932904
2607,2020-04-18,Wisconsin,55,4199,212,154.0,0.038071693448702204
2551,2020-04-17,Wisconsin,55,4045,205,170.0,0.04387096774193555
2495,2020-04-16,Wisconsin,55,3875,197,154.0,0.04138672399892496
2439,2020-04-15,Wisconsin,55,3721,184,166.0,0.04669479606188465
2383,2020-04-14,Wisconsin,55,3555,172,127.0,0.03704784130688443
2327,2020-04-13,Wisconsin,55,3428,155,87.0,0.026040107752169916
2271,2020-04-12,Wisconsin,55,3341,145,128.0,0.03983815748521624
2215,2020-04-11,Wisconsin,55,3213,141,145.0,0.04726205997392441
2159,2020-04-10,Wisconsin,55,3068,131,183.0,0.06343154246100524
2103,2020-04-09,Wisconsin,55,2885,116,129.0,0.046806966618287316
2047,2020-04-08,Wisconsin,55,2756,107,178.0,0.06904577191621408
1992,2020-04-07,Wisconsin,55,2578,94,138.0,0.05655737704918029
1937,2020-04-06,Wisconsin,55,2440,83,173.0,0.07631230701367442
1882,2020-04-05,Wisconsin,55,2267,73,155.0,0.0733901515151516
1827,2020-04-04,Wisconsin,55,2112,60,196.0,0.10229645093945727
1772,2020-04-03,Wisconsin,55,1916,49,186.0,0.10751445086705202
1717,2020-04-02,Wisconsin,55,1730,37,180.0,0.11612903225806459
1662,2020-04-01,Wisconsin,55,1550,33,199.0,0.1472982975573649
1607,2020-03-31,Wisconsin,55,1351,25,84.0,0.06629834254143652
1552,2020-03-30,Wisconsin,55,1267,20,147.0,0.1312500000000001
1497,2020-03-29,Wisconsin,55,1120,17,78.0,0.0748560460652592
1442,2020-03-28,Wisconsin,55,1042,17,112.0,0.12043010752688166
1387,2020-03-27,Wisconsin,55,930,16,176.0,0.23342175066312998
1333,2020-03-26,Wisconsin,55,754,10,131.0,0.2102728731942216
1279,2020-03-25,Wisconsin,55,623,7,142.0,0.2952182952182951
1225,2020-03-24,Wisconsin,55,481,5,63.0,0.15071770334928236
