date,fips,cases,deaths,cfr,Case_Difference,Pct_Chg_Cases,Pct_Chg_Deaths
1/21/2020,53,1,0,0,,,
1/22/2020,53,1,0,0,0,0,
1/23/2020,53,1,0,0,0,0,
1/24/2020,70,2,0,0,1,1,
1/25/2020,76,3,0,0,1,0.5,
1/26/2020,80,5,0,0,2,0.666666667,
1/27/2020,80,5,0,0,0,0,
1/28/2020,80,5,0,0,0,0,
1/29/2020,80,5,0,0,0,0,
1/30/2020,80,6,0,0,1,0.2,
1/31/2020,80,7,0,0,1,0.166666667,
2/1/2020,105,8,0,0,1,0.142857143,
2/2/2020,105,11,0,0,3,0.375,
2/3/2020,105,11,0,0,0,0,
2/4/2020,105,11,0,0,0,0,
2/5/2020,160,12,0,0,1,0.090909091,
2/6/2020,160,12,0,0,0,0,
2/7/2020,160,12,0,0,0,0,
2/8/2020,160,12,0,0,0,0,
2/9/2020,160,12,0,0,0,0,
2/10/2020,160,13,0,0,1,0.083333333,
2/11/2020,160,13,0,0,0,0,
2/12/2020,208,14,0,0,1,0.076923077,
2/13/2020,208,15,0,0,1,0.071428571,
2/14/2020,208,15,0,0,0,0,
2/15/2020,208,15,0,0,0,0,
2/16/2020,208,15,0,0,0,0,
2/17/2020,239,25,0,0,10,0.666666667,
2/18/2020,239,25,0,0,0,0,
2/19/2020,239,25,0,0,0,0,
2/20/2020,239,27,0,0,2,0.08,
2/21/2020,239,30,0,0,3,0.111111111,
2/22/2020,239,30,0,0,0,0,
2/23/2020,239,30,0,0,0,0,
2/24/2020,239,43,0,0,13,0.433333333,
2/25/2020,288,45,0,0,2,0.046511628,
2/26/2020,288,60,0,0,15,0.333333333,
2/27/2020,288,60,0,0,0,0,
2/28/2020,329,65,0,0,5,0.083333333,
2/29/2020,329,70,1,0.014285714,5,0.076923077,inf
3/1/2020,421,88,3,0.034090909,18,0.257142857,2
3/2/2020,467,104,6,0.057692308,16,0.181818182,1
3/3/2020,504,125,10,0.08,21,0.201923077,0.666666667
3/4/2020,538,161,12,0.074534161,36,0.288,0.2
3/5/2020,649,228,12,0.052631579,67,0.416149068,0
3/6/2020,857,311,15,0.048231511,83,0.364035088,0.25
3/7/2020,1018,428,19,0.044392523,117,0.376205788,0.266666667
3/8/2020,1046,547,22,0.040219378,119,0.278037383,0.157894737
3/9/2020,1107,748,26,0.034759358,201,0.367458867,0.181818182
3/10/2020,1179,1018,31,0.030451866,270,0.360962567,0.192307692
3/11/2020,1351,1263,37,0.029295329,245,0.240667976,0.193548387
3/12/2020,1376,1668,43,0.025779376,405,0.320665083,0.162162162
3/13/2020,1495,2224,50,0.022482014,556,0.333333333,0.162790698
3/14/2020,1573,2898,60,0.020703934,674,0.303057554,0.2
3/15/2020,1639,3600,68,0.018888889,702,0.242236025,0.133333333
3/16/2020,1639,4507,91,0.020190814,907,0.251944444,0.338235294
3/17/2020,1693,5905,116,0.019644369,1398,0.310184158,0.274725275
3/18/2020,1693,8345,157,0.018813661,2440,0.413209145,0.353448276
3/19/2020,1693,12384,203,0.016392119,4039,0.484002397,0.292993631
3/20/2020,1693,17990,264,0.014674819,5606,0.452680879,0.300492611
3/21/2020,1693,24511,343,0.013993717,6521,0.362479155,0.299242424
3/22/2020,1693,33043,435,0.013164664,8532,0.348088613,0.268221574
3/23/2020,1693,43477,550,0.012650367,10434,0.31577036,0.264367816
3/24/2020,1693,53892,731,0.013564165,10415,0.239551947,0.329090909
3/25/2020,1693,68489,989,0.014440275,14597,0.270856528,0.352941176
3/26/2020,1693,85497,1275,0.014912804,17008,0.248331849,0.289180991
3/27/2020,1693,102729,1648,0.016042208,17232,0.201550932,0.29254902
3/28/2020,1762,123581,2134,0.017268027,20852,0.202980658,0.294902913
3/29/2020,1762,142194,2487,0.017490189,18613,0.150613767,0.165417057
3/30/2020,1762,163589,3068,0.018754317,21395,0.150463451,0.233614797
3/31/2020,1762,188049,3911,0.020797771,24460,0.149521056,0.274771838
4/1/2020,1762,214711,4841,0.022546586,26662,0.141782195,0.237790846
4/2/2020,1762,244423,6232,0.025496782,29712,0.138381359,0.287337327
4/3/2020,1762,276501,7121,0.025753976,32078,0.131239695,0.142650834
4/4/2020,1762,311536,8499,0.027280956,35035,0.126708403,0.193512147
4/5/2020,1762,336771,9654,0.028666364,25235,0.081001875,0.135898341
4/6/2020,1762,366227,10958,0.029921333,29456,0.087465964,0.135073545
4/7/2020,1762,397748,12957,0.032575902,31521,0.086069569,0.1824238
4/8/2020,1762,429316,14803,0.034480429,31568,0.079366835,0.142471251
4/9/2020,1822,463684,16673,0.035957678,34368,0.080052921,0.126325745
4/10/2020,1822,496914,18710,0.037652391,33230,0.071665186,0.122173574
4/11/2020,1822,528397,20574,0.038936633,31483,0.06335704,0.099625869
4/12/2020,1822,555327,22055,0.039715339,26930,0.050965467,0.071984058
4/13/2020,1822,580853,23606,0.040640231,25526,0.04596571,0.07032419
4/14/2020,1822,607285,26080,0.04294524,26432,0.045505489,0.104803863
4/15/2020,1822,637056,28582,0.044865757,29771,0.049023111,0.095935583
4/16/2020,1822,668533,30723,0.045955847,31477,0.049410099,0.074907284
4/17/2020,1822,699853,32910,0.047024161,31320,0.046848847,0.071184455
4/18/2020,1822,728094,34726,0.047694391,28241,0.04035276,0.055180796
4/19/2020,1822,753314,36109,0.047933531,25220,0.034638385,0.039826067
4/20/2020,1822,780449,37795,0.048427251,27135,0.036020836,0.04669196
4/21/2020,1822,805771,40316,0.050034067,25322,0.032445426,0.066701945
